Ticker,Year,ROE,DE_Ratio,PE_Ratio,Report_Date
AAPL,2023,1.5607601454639075,1.7875325845589418,31.369736,2023-09-30
AAPL,2022,1.9695887275023682,2.6144616356173036,31.369736,2022-09-30
AAPL,2021,1.5007132667617689,2.163924552226977,31.369736,2021-09-30
AAPL,2020,,,31.369736,2020-09-30
MSFT,2023,0.35088714643856406,0.2907774593522546,38.326122,2023-06-30
MSFT,2022,0.4367546925099975,0.36789518559882795,38.326122,2022-06-30
MSFT,2021,0.4315223821731414,0.4773290700622588,38.326122,2021-06-30
GOOGL,2023,0.26041096905557576,0.09570575095543424,19.925222,2023-12-31
GOOGL,2022,0.2341339246673746,0.11586841776500718,19.925222,2022-12-31
GOOGL,2021,0.30215590041131,0.11284201323345322,19.925222,2021-12-31
GOOGL,2020,,,19.925222,2020-12-31
JPM,2023,0.15112938349020064,1.3314007039203606,14.0878315,2023-12-31
JPM,2022,0.12888086148625535,1.1626917340557996,14.0878315,2022-12-31
JPM,2021,0.16433037429409744,1.2055982619752692,14.0878315,2021-12-31
JPM,2020,,,14.0878315,2020-12-31
XOM,2023,0.17582836105116162,0.20299118172674094,14.506631,2023-12-31
XOM,2022,0.2857743438828192,0.21119308481458504,14.506631,2022-12-31
XOM,2021,0.13667344892838287,0.28298047776387053,14.506631,2021-12-31
NEE,2023,0.15399848318867448,1.5423232493469285,26.55056,2023-12-31
NEE,2022,0.10571261056871192,1.6560707639756302,26.55056,2022-12-31
NEE,2021,0.09604322348260846,1.4737648513520778,26.55056,2021-12-31
NEE,2020,,,26.55056,2020-12-31
MMM,2023,-1.4551695444143957,3.4847097982109423,18.931507,2023-12-31
MMM,2022,0.3924059231082733,1.1448852058144274,18.931507,2022-12-31
MMM,2021,0.3935265186760601,1.2169347334839824,18.931507,2021-12-31
MMM,2020,,,18.931507,2020-12-31
DIS,2023,0.02371143366540085,0.5025836800064466,24.916496,2023-09-30
DIS,2022,0.0331024755810037,0.5431963624115864,24.916496,2022-09-30
DIS,2021,0.022528881009113187,0.6508531613835782,24.916496,2021-09-30
DIS,2020,,,24.916496,2020-09-30
LLY,2023,0.4864879919048636,2.341768861575024,63.30204,2023-12-31
LLY,2022,0.5863772089616707,1.5247798080715131,63.30204,2022-12-31
LLY,2021,0.6216255345687812,1.8804236457590877,63.30204,2021-12-31
LLY,2020,,,63.30204,2020-12-31
NVDA,2023,0.19763811592235644,0.5443645083932853,50.723473,2023-01-31
NVDA,2022,0.3664512250112731,0.44457387644671575,50.723473,2022-01-31
